,net_flow,reserve,reserve_change,netflow_ma7,netflow_volatility
2023-12-15 14:14:26.852286,-3.6552453746994997,,,,
2023-12-16 14:14:26.852286,-44.577027579257624,,,,
2023-12-17 14:14:26.852286,16.160364321895003,,,,
2023-12-18 14:14:26.852286,-6.617349288814578,,,,
2023-12-19 14:14:26.852286,134.38076193543333,,,,
2023-12-20 14:14:26.852286,-24.828650607173994,,,,
2023-12-21 14:14:26.852286,-42.484231170067005,,,4.054088891045089,61.46805458048197
2023-12-22 14:14:26.852286,27.80932712004871,,,8.549027818866263,61.95882581763002
2023-12-23 14:14:26.852286,37.919573846399615,,,20.334256593960156,57.88118069375445
2023-12-24 14:14:26.852286,20.371599477376677,,,20.93586161617182,57.85244591284395
2023-12-25 14:14:26.852286,10.313940087990135,,,23.35461724142964,56.853798059796
2023-12-26 14:14:26.852286,-55.13726134515229,,,-3.719386084368309,36.736187265383684
2023-12-27 14:14:26.852286,-55.788700537403656,,,-8.142250360115403,41.28350172665339
2023-12-28 14:14:26.852286,3.6684671586034234,,,-1.549007741733914,38.47464653004096
2023-12-29 14:14:26.852286,27.903787877843346,,,-1.5355133477632517,38.486674366874276
2023-12-30 14:14:26.852286,-28.456605546928472,,,-11.017824689667265,35.180454620746104
2023-12-31 14:14:26.852286,105.45310756420363,,,1.1366764655937291,56.231730582991354
2024-01-01 14:14:26.852286,89.81123619550254,,,12.493433052381217,65.63557099704164
2024-01-02 14:14:26.852286,-22.409717377741266,,,17.16879647629708,61.01840569844687
2024-01-03 14:14:26.852286,31.664758636451566,,,29.66214778684782,51.855929849831895
2024-01-04 14:14:26.852286,-98.27386497120588,,,15.098957482589352,71.11208419167531
2024-01-05 14:14:26.852286,33.862807837495005,,,15.950246048253872,71.3262652202765
2024-01-06 14:14:26.852286,86.22517278290346,,,32.33335723822986,72.58600553224356
2024-01-07 14:14:26.852286,70.60183941335492,,,27.354604645251474,67.77023952707394
2024-01-08 14:14:26.852286,42.655967139932926,,,20.61813763731296,62.679705844726136
2024-01-09 14:14:26.852286,-4.09421655909712,,,23.234637754262117,60.94239736749601
2024-01-10 14:14:26.852286,-52.56809333219571,,,11.20137318731251,67.01398571753111
2024-01-11 14:14:26.852286,-21.417610738649486,,,22.180838077677713,50.30005879394061
2024-01-12 14:14:26.852286,13.059419684871507,,,19.208925484445782,50.10901697438954
2024-01-13 14:14:26.852286,-39.527677111338264,,,1.24423264241125,44.28163888303379
2024-01-14 14:14:26.852286,-75.49624521147379,,,-19.62692230399285,40.40331837790178
2024-01-15 14:14:26.852286,100.85866351129447,,,-11.312251393798347,57.6602847446886
2024-01-16 14:14:26.852286,21.617671134072943,,,-7.639124580488337,59.00012340063572
2024-01-17 14:14:26.852286,-117.09319802372427,,,-16.856996679278133,71.00808072062328
2024-01-18 14:14:26.852286,-16.930530206505154,,,-16.215985174686086,70.98029668165816
2024-01-19 14:14:26.852286,-31.823202594673837,,,-22.627788357478273,69.91420035493145
2024-01-20 14:14:26.852286,-10.141681742227462,,,-18.429789019033876,69.61190834071003
2024-01-21 14:14:26.852286,124.76786810067566,,,10.179370025558901,82.25418673290648
2024-01-22 14:14:26.852286,25.85839421698651,,,-0.5349541593422344,72.81715427917175
2024-01-23 14:14:26.852286,-25.309201385103332,,,-7.238793090653131,72.59759186455402
2024-01-24 14:14:26.852286,-39.18912228238413,,,3.890360586681175,57.3124315898376
2024-01-25 14:14:26.852286,-33.841390076055035,,,1.4745234624597632,58.676529265707586
2024-01-26 14:14:26.852286,-30.457118423286133,,,1.6696783440865783,58.549459312854296
2024-01-27 14:14:26.852286,72.93982016182352,,,13.538464330379574,63.92975759518967
2024-01-28 14:14:26.852286,25.976155465367704,,,-0.5746374746644187,42.64297878282607
2024-01-29 14:14:26.852286,-0.4080617403920872,,,-4.326988325718504,41.05545733422234
2024-01-30 14:14:26.852286,81.07880691118113,,,10.871298573750705,50.58043855082165
2024-01-31 14:14:26.852286,-91.90432135334268,,,3.340555849328055,61.92748756569462
